nt,1
nw,2
pxlsize_z_y_x,0.28965518,0.120507814,0.120507814
refwave,0
t,wavelength,tz,ty,tx,rz,mz,my,mx
0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0,1,-0.83306015,-0.8501325,0.6775926,0,0.9913412,0.998901,0.9980859
